ENCFF001SOF_hg19_HS  
ENCFF001SOG_hg19_HS  
ENCFF001SOH_hg19_HS  
ENCFF001SOJ_hg19_HS  
ENCFF001SOK_hg19_HS  
ENCFF001SOM_hg19_HS  
ENCFF001SON_hg19_HS  
ENCFF001SOO_hg19_HS  
ENCFF001SOP_hg19_HS  
ENCFF001SOQ_hg19_HS  
ENCFF001SOS_hg19_HS  
ENCFF001SOT_hg19_HS  
ENCFF001SOU_hg19_HS  
ENCFF001SOV_hg19_HS  
ENCFF001SOX_hg19_HS  
ENCFF001SOY_hg19_HS  
ENCFF001SPB_hg19_HS  
ENCFF001SPE_hg19_HS  
ENCFF001SPG_hg19_HS  
ENCFF001SPH_hg19_HS  
ENCFF001SPI_hg19_HS  
ENCFF001SPJ_hg19_HS  
ENCFF001SPK_hg19_HS  
ENCFF001SPL_hg19_HS  
ENCFF001SPM_hg19_HS  
ENCFF001SPN_hg19_HS  
ENCFF001SPU_hg19_HS  
ENCFF001SPV_hg19_HS  
ENCFF001SPW_hg19_HS  
ENCFF001SPX_hg19_HS  
ENCFF001SPY_hg19_HS  
ENCFF001SPZ_hg19_HS  
ENCFF001SQA_hg19_HS  
ENCFF001SQB_hg19_HS  
ENCFF001SQC_hg19_HS  
ENCFF001SQD_hg19_HS  
ENCFF001SQE_hg19_HS  
ENCFF001SQF_hg19_HS  
ENCFF001SQG_hg19_HS  
ENCFF001SQH_hg19_HS  
ENCFF001SQI_hg19_HS  
ENCFF001SQJ_hg19_HS  
ENCFF001SQK_hg19_HS  
ENCFF001SQL_hg19_HS  
ENCFF001SQM_hg19_HS  
ENCFF001SQN_hg19_HS  
ENCFF001SQO_hg19_HS  
ENCFF001SQP_hg19_HS  
ENCFF001SQQ_hg19_HS  
ENCFF001SQR_hg19_HS  
ENCFF001SQS_hg19_HS  
ENCFF001SQT_hg19_HS  
ENCFF001SQU_hg19_HS  
ENCFF001SQV_hg19_HS  
ENCFF001SQW_hg19_HS  
ENCFF001SQX_hg19_HS  
ENCFF001SQY_hg19_HS  
ENCFF001SQZ_hg19_HS  
ENCFF001SRA_hg19_HS  
ENCFF001SRB_hg19_HS  
ENCFF001SRD_hg19_HS  
ENCFF001SRE_hg19_HS  
ENCFF001SRF_hg19_HS  
ENCFF001SRG_hg19_HS  
ENCFF001SRH_hg19_HS  
ENCFF001SRI_hg19_HS  
ENCFF001SRJ_hg19_HS  
ENCFF001SRK_hg19_HS  
ENCFF001SRM_hg19_HS  
ENCFF001SRN_hg19_HS  
ENCFF001SRO_hg19_HS  
ENCFF001SRP_hg19_HS  
ENCFF001SRQ_hg19_HS  
ENCFF001SRS_hg19_HS  
ENCFF001SRT_hg19_HS  
ENCFF001SRU_hg19_HS  
ENCFF001SRV_hg19_HS  
ENCFF001SRW_hg19_HS  
ENCFF001SRX_hg19_HS  
ENCFF001SRY_hg19_HS  
ENCFF001SRZ_hg19_HS  
ENCFF001SSA_hg19_HS  
ENCFF001SSB_hg19_HS  
ENCFF001SSC_hg19_HS  
ENCFF001SSD_hg19_HS  
ENCFF001SSE_hg19_HS  
ENCFF001SSF_hg19_HS  
ENCFF001SSG_hg19_HS  
ENCFF001SSI_hg19_HS  
ENCFF001SSJ_hg19_HS  
ENCFF001SSK_hg19_HS  
ENCFF001SSL_hg19_HS  
ENCFF001SSM_hg19_HS  
ENCFF001UUC_hg19_HS  
ENCFF001UUG_hg19_HS  
ENCFF001UUH_hg19_HS  
ENCFF001UUI_hg19_HS  
ENCFF001UUK_hg19_HS  
ENCFF001UUL_hg19_HS  
ENCFF001UUO_hg19_HS  
ENCFF001UUP_hg19_HS  
ENCFF001UUQ_hg19_HS  
ENCFF001UUR_hg19_HS  
ENCFF001UUS_hg19_HS  
